UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.065_N.30,PERAK,P.065,IPOH BARAT,N.30,BUNTONG,36714,25483,MIC,S. JAYAGOPI,MALE,66,2257,,,,,,PPBM,SIVASUBRAMANIAM,MALE,,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,SEBASTIAR,MALE,,237,INDEPENDENT - TREE,MUHAMMAD FAIZ ABDULLAH,MALE,,140,,,,,,,,,,,,,,
P.066_N.31,PERAK,P.066,BATU GAJAH,N.31,JELAPANG,35088,24296,MMSP,HAMIDAH BINTI MUHAMAD,FEMALE,46,1443,,,,,,PAS,NAVINTEN A/L SUNDARAJAN,MALE,31,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.066_N.32,PERAK,P.066,BATU GAJAH,N.32,MENGLEMBU,38689,26015,MCA,PHOON KAI MUN,MALE,36,1684,,,,,,PPBM,WONG KEAN RONG,MALE,,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.066_N.33,PERAK,P.066,BATU GAJAH,N.33,TRONOH,38119,24630,,,,,,,,,,,,,,,,PEJUANG,ROSLAN BIN ISMAIL,MALE,,478,,,,,,,,,,,,,,,,PBM,BRYAN YONG WU SEAN,MALE,25,710,,,,,,INDEPENDENT - CAR,MEOR SHAHIMUDIN BIN HJ HASIM,MALE,,259,,,,,,,,,,,,,,,,,,,
P.067_N.34,PERAK,P.067,KUALA KANGSAR,N.34,BUKIT CHANDAN,22194,17044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.067_N.35,PERAK,P.067,KUALA KANGSAR,N.35,MANONG,24791,18665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068_N.36,PERAK,P.068,BERUAS,N.36,PENGKALAN BAHARU,22573,16424,,,,,,,,,,,,,,,,PEJUANG,CIKGU HALIM,MALE,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068_N.37,PERAK,P.068,BERUAS,N.37,PANTAI REMIS,44432,28848,,,,,,,,,,,GERAKAN,EEE CHIN OON,MALE,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068_N.38,PERAK,P.068,BERUAS,N.38,ASTAKA,41244,27033,MCA,DR CHIENG LEE CHONG,MALE,55,3293,,,,,,GERAKAN,AH YONG ( IAN ),MALE,,2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.069_N.39,PERAK,P.069,PARIT,N.39,BELANJA,17767,13552,,,,,,,,,,,,,,,,PEJUANG,USTAZ SHAHARUZZAMAN,MALE,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
