UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,BANDAR TUN RAZAK,119185,61.99,26.94,8.77,0.02,0.70,0.60,0.98,95.78,0.02,0.17,4.04,6.38,21.36,22.73,18.34,14.92,10.42,4.56,1.16,0.14,49.86,50.14,URBAN
P.125,WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,PUTRAJAYA,42881,93.85,0.89,2.78,0.06,1.21,0.51,0.69,96.61,0.16,1.74,1.49,8.33,21.00,29.66,21.89,10.22,7.43,1.32,0.13,0.00,49.44,50.56,URBAN
P.126,NEGERI SEMBILAN,P.126,JELEBU,59561,65.12,23.33,5.49,5.22,0.15,0.09,0.60,98.75,0.01,1.24,0.00,4.74,16.93,23.81,19.27,13.04,12.48,7.15,2.18,0.39,50.51,49.49,RURAL
P.127,NEGERI SEMBILAN,P.127,JEMPOL,95813,63.63,22.01,12.74,0.89,0.10,0.08,0.55,99.59,0.00,0.41,0.00,5.02,19.37,27.28,16.27,11.28,13.38,5.81,1.37,0.22,49.01,50.99,SEMI URBAN
P.128,NEGERI SEMBILAN,P.128,SEREMBAN,157244,51.29,31.90,13.93,0.80,0.38,0.26,1.45,98.97,0.03,0.98,0.02,6.67,21.15,20.66,16.84,14.57,11.89,5.76,2.01,0.45,49.62,50.38,URBAN
P.129,NEGERI SEMBILAN,P.129,KUALA PILAH,63247,76.03,15.68,5.25,2.18,0.12,0.12,0.61,99.41,0.02,0.57,0.00,5.06,18.17,20.86,16.85,15.23,13.36,6.48,3.32,0.68,49.41,50.59,RURAL
P.130,NEGERI SEMBILAN,P.130,RASAH,155896,32.57,42.64,22.38,0.39,0.36,0.32,1.34,98.48,0.02,0.46,1.04,7.01,22.13,20.39,16.85,14.30,11.33,5.60,1.94,0.45,49.37,50.63,URBAN
P.131,NEGERI SEMBILAN,P.131,REMBAU,133555,73.49,8.86,15.94,0.41,0.25,0.21,0.84,98.32,0.02,0.38,1.28,7.51,24.12,21.87,16.09,13.92,10.49,4.21,1.46,0.32,49.15,50.85,SEMI URBAN
P.132,NEGERI SEMBILAN,P.132,PORT DICKSON,104450,43.60,31.87,21.41,0.30,0.83,0.94,1.05,92.92,0.01,0.50,6.57,6.60,21.37,22.39,17.13,14.09,10.95,5.35,1.75,0.38,51.12,48.88,SEMI URBAN
P.133,NEGERI SEMBILAN,P.133,TAMPIN,81099,61.93,23.66,12.28,0.17,0.48,0.85,0.63,93.56,0.00,0.48,5.95,5.00,20.63,25.47,17.55,12.43,11.30,5.44,1.89,0.29,50.56,49.44,SEMI URBAN
P.134,MELAKA,P.134,MASJID TANAH,69174,81.95,11.74,3.64,0.43,0.23,0.18,1.82,99.52,0.01,0.13,0.34,6.27,22.33,21.88,16.32,14.39,10.87,5.59,2.00,0.35,48.69,51.31,SEMI URBAN
P.135,MELAKA,P.135,ALOR GAJAH,93311,61.39,23.78,13.07,0.74,0.17,0.15,0.70,99.4,0.00,0.57,0.02,6.34,20.98,21.65,16.95,14.36,11.31,5.86,2.17,0.39,49.22,50.78,SEMI URBAN
P.136,MELAKA,P.136,TANGGA BATU,115998,69.28,22.29,3.65,0.06,1.45,1.57,1.70,91.69,0.01,0.04,8.25,7.27,24.87,24.14,17.08,12.40,8.79,4.05,1.22,0.19,51.28,48.72,URBAN
P.137,MELAKA,P.137,HANG TUAH JAYA,118493,61.73,30.62,6.04,0.01,0.31,0.20,1.09,98.97,0.01,0.79,0.23,6.40,21.78,22.62,16.83,13.93,11.26,5.34,1.59,0.24,49.02,50.98,URBAN
P.138,MELAKA,P.138,KOTA MELAKA,164140,38.98,54.17,4.46,0.01,0.24,0.18,1.96,99.57,0.02,0.41,0.00,5.43,18.77,19.92,17.14,15.12,13.27,7.29,2.54,0.52,48.65,51.35,URBAN
P.139,MELAKA,P.139,JASIN,96208,73.29,15.50,10.12,0.14,0.09,0.09,0.77,99.76,0.01,0.24,0.00,6.41,22.08,21.49,16.96,14.71,10.77,5.30,1.98,0.31,48.77,51.23,SEMI URBAN
P.140,JOHOR,P.140,SEGAMAT,69360,46.70,42.64,9.32,0.17,0.19,0.21,0.79,98.71,0.01,0.84,0.44,4.81,18.67,22.51,16.10,14.60,13.89,6.56,2.38,0.49,50.27,49.73,SEMI URBAN
P.141,JOHOR,P.141,SEKIJANG,63981,57.76,36.58,4.07,0.31,0.08,0.09,1.11,100,0.00,0.00,0.00,5.97,21.03,23.20,17.68,12.97,11.26,5.90,1.77,0.23,49.44,50.56,SEMI URBAN
P.142,JOHOR,P.142,LABIS,49846,37.55,43.75,15.36,2.31,0.14,0.06,0.84,99.91,0.01,0.08,0.00,4.79,17.92,20.68,17.88,15.97,12.57,7.01,2.63,0.55,50.26,49.74,SEMI URBAN
P.143,JOHOR,P.143,PAGOH,69939,66.08,29.25,3.42,0.57,0.09,0.06,0.53,99.85,0.00,0.15,0.00,5.75,20.76,22.15,16.53,14.53,11.80,5.30,2.68,0.51,49.79,50.21,RURAL
